,Name,Founded,Area,Focus,Recent Costs,Proof of concept,Pilot plant,Market entry
12,Cell Farm Food Tech[citation needed],2018,Argentina,Meat,,,,
43,Vow,2019[157],Australia,Kangaroo,US$1350/kg (Aug 2019 claim)[158],Aug 2019[158],Oct 2022[159],2022 (restaurants) (Oct 2019 claim)[160]
24,Heuros[citation needed],2017,Australia,Pet food,,,,
30,Meatleo,2021,Canada,Beef,,,,
2,Appleton Meats[citation needed],2016,Canada,Beef,,,,
20,Future Fields[citation needed],2017,Canada,Culture media,,,,
11,Cell Ag Tech[citation needed],2018,Canada,Meat,,,,
13,CellX,2020[111],China,Pork,,2021[112][113],,(by 2025) aiming for cost-parity with conventionally sourced pork[114]
32,Mewery,2020,Czech Republic,Pork,,mid 2022,,2025
23,Gourmey[citation needed],2019,France,Foie gras,,,,
4,Avant Meats,2018[98],Hong Kong,Fish protein,,November 2019[99],2022 (Aug 2020 claim)[98],
14,Clear Meat[115],2019[115],India,Poultry[115],c. 825 rupees/chicken (Nov 2020 claim)[86],,,2022 (May 2019 claim)[116]
0,Aleph Farms,2017[94],Israel,Beef,"Over $3,000/kg (Nov 2019 claim)[95]",Dec 2018[94],Feb 2022[96],End 2022 (Feb 2022 claim)[96]
38,SavorEat,2016[94],Israel,Beef,,,,Mid-2021 (restaurants) (May 2020 claim)[94]
41,SuperMeat,2015[94],Israel,Poultry,$35/burger (Dec 2020 claim)[88],2018[152],November 2020[89],By 2022 (May 2020 claim)[94]Test restaurant Nov 2020[89]
21,Future Meat Technologies,2018,Israel,Meat,$10/lb (Feb 2020 goal by 2022)[124],2019,June 2021[125],2022 (Oct 2019 claim)[126]
31,MeaTech(subsidiary: Peace of Meat),2019,Belgium,Foie gras,"€15,000/kg (May 2020 claim)[79]",3 March 2020[135],Constructing; 2022 (May 2021 claim)[80],2022 (Dec 2019 claim)[78]
31,MeaTech(subsidiary: Peace of Meat),2019,Israel,Foie gras,"€15,000/kg (May 2020 claim)[79]",4 March 2020[135],Constructing; 2022 (May 2021 claim)[80],2023 (Dec 2019 claim)[78]
27,"IntegriCulture, Inc.",2015,Japan,Foie gras,"¥20,000/kg (July 2019 claim)[129]",2021[130],2021 (July 2020 claim),
40,Shojinmeat Project[151][better source needed],,Japan,,,,,
34,Mosa Meat /Maastricht University,2015,Netherlands,Beef,€60/kg (Feb 2017 goal by 2020)[137]'88x cheaper' (July 2020 claim)[138],Aug 2013 (UM)[54],Installing (May 2020)[138],2022 (Feb 2020 claim)[139]
29,Meatable,2018,Netherlands,Pork,,End 2020[132],Preparing (Sept 2021)[133][134],2023 (Apr 2021 claim)[132]
1,Ants Innovate[citation needed],2020,Singapore,Pork,,,,
22,Gaia Foods[citation needed],2019,Singapore,Red meat,,,,
39,Shiok Meats,2018[147],Singapore,Shrimp,"$3,500/kg (Oct 2020 claim)[148]",2019[148],,2021 (March 2020 claim)[149][147][150]
15,Cubiq Foods[citation needed],2018,Spain,Fat,,Sep 2019[117],,
10,BioTech Foods(acquired by JBS[108]),2017[87],Spain,Pork[87],€100/kg (July 2019 claim)[109],,2020[110],mid-2024 (Dec 2021 claim)[108]
33,Mirai Foods,2020,Switzerland,Beef,'Small car'/kg (June 2020 claim)[136],June 2020[136],,
16,Cultured Food Innovation Hub[118],2021[118],Switzerland,Meat[118],,,2022 (Sept 2021 claim)[118],
7,Biftek[104],2018[105],Turkey,Culture media,,,,
25,Higher Steaks,2017,United Kingdom,Pork,£'Thousands'/kg (July 2020 claim)[127],July 2020[128],,
26,Hoxton Farms,2020,United Kingdom,Fat,,,,
36,Multus Media[citation needed],2019,United Kingdom,Culture media,,October 2019[143],,
17,Eat Just,2011,United States,Meat,C. €50/nugget (Jan 2020 claim)[119],Dec 2017[120],Constructing (Jan 2020)[82],December 2020 (restaurants)[90]
28,Matrix Meats[citation needed],2019,United States,Scaffolding,,2020[131],,
9,BlueNalu[citation needed],2018,United States,Seafood,,Fall 2019[107],,
8,BioBQ[citation needed],2018,United States,Scaffolding,,2022[106],,
19,Fork & Goode[citation needed],2018,United States,Meat,,,,
3,Artemys Foods[citation needed],2019,United States,Meat,,Fall 2020[97],,
37,New Age Meats,2018[144],United States,Pork,,Sep 2018[145],Constructing (Oct 2021)[146],2022[146]
6,Because Animals[101],2018,United States,Pet food,,May 2019[102],,2022 (Aug 2021 claim)[103]
5,Balletic Foods[100][better source needed],,United States,,,,,
35,Motif FoodWorks,2019[140],United States,Beef,,End 2020 (Aug 2020 claim)[141],,Q4 2021 (beef flavouring) (Oct 2020 claim)[142]
42,Upside Foods(formerly Memphis Meats),2015,United States,Poultry,"$1,700/lb (Feb 2018 claim)[153]",Feb 2016[154],4 November 2021[155][156],Around 2020 (Feb 2017 claim)[137]
18,Finless Foods,2016[121],United States,Tuna,"$7,000/lb (Feb 2018 claim)[122]",Sep 2017[122],Constructing (Oct 2021)[123],2022[123]
44,Wildtype Foods,2016,United States,Salmon,,June 2019[161],24 June 2021[162],
